"81";"293936";"30";"0";"12.57.58 PM";;
"82";"542666";"30";"0";"01.00.53 PM";;
"83";"262377";"30";"0";"01.01.12 PM";;
"84";"627206";"30";"0";"01.01.32 PM";" 01.06.54 PM";"*"
"85";"173031";"30";"0";"01.02.29 PM";;
"86";"783541";"30";"2";"01.02.52 PM";" 01.09.47 PM";"*"
"87";"160507";"30";"1";"08.04.05 PM";;
"88";"573126";"30";"4";"01.07.01 PM";" 01.17.50 PM";"*"
"89";"373367";"30";"1";"01.06.54 PM";" 01.17.05 PM";"*"
"90";"310745";"30";"2";"01.07.12 PM";;
"91";"671234";"30";"0";"01.07.07 PM";" 01.13.36 PM";"*"
"92";"406710";"30";"1";"01.07.34 PM";" 01.21.22 PM";"*"
"93";"242163";"30";"1";"01.10.00 PM";" 01.16.09 PM";"*"
"94";"192120";"30";"2";"01.09.44 PM";" 01.15.34 PM";"*"
"95";"762942";"30";"0";"01.10.08 PM";" 01.16.03 PM";"*"
"96";"464691";"30";"2";"01.10.20 PM";" 01.18.55 PM";"*"
"97";"657775";"30";"0";"01.11.03 PM";" 01.27.14 PM";"*"
"98";"847427";"30";"1";"01.10.56 PM";" 01.20.26 PM";"*"
"99";"189758";"30";"0";"01.12.34 PM";" 01.20.25 PM";"*"
"100";"356915";"30";"0";"08.13.02 PM";" 08.25.28 PM";"*"
"101";"160671";"30";"0";"01.12.49 PM";" 01.23.22 PM";"*"
"102";"271386";"30";"4";"01.12.49 PM";" 01.23.14 PM";"*"
"103";"728555";"30";"4";"01.12.36 PM";" 01.21.44 PM";"*"
"104";"501220";"30";"1";"01.13.07 PM";" 01.22.39 PM";"*"
"105";"961520";"30";"1";"01.17.03 PM";" 01.24.21 PM";"*"
"106";"620916";"30";"4";"01.14.45 PM";" 01.22.02 PM";"*"
"107";"794198";"30";"3";"01.14.48 PM";" 01.23.26 PM";"*"
"108";"737069";"30";"3";"01.14.54 PM";" 01.25.51 PM";"*"
"109";"731576";"30";"0";"01.16.30 PM";" 01.27.06 PM";"*"
"110";"203024";"30";"4";"01.16.26 PM";" 01.22.06 PM";"*"
"111";"143780";"30";"1";"01.18.29 PM";" 01.27.45 PM";"*"
"112";"925567";"30";"5";"01.19.03 PM";" 01.27.32 PM";"*"
"113";"747122";"30";"0";"01.20.19 PM";" 01.30.36 PM";"*"
"114";"347357";"30";"3";"01.23.17 PM";" 01.33.00 PM";"*"
"115";"547198";"30";"4";"02.38.59 PM";" 02.45.06 PM";"*"
"116";"358288";"30";"9";"02.38.42 PM";" 02.46.39 PM";"*"
"117";"333047";"30";"2";"03.06.06 PM";" 03.14.58 PM";"*"
"118";"233428";"30";"3";"03.06.09 PM";" 03.16.04 PM";"*"
"119";"977890";"30";"0";"03.06.12 PM";" 03.16.12 PM";"*"
"120";"500616";"30";"0";"03.31.49 PM";" 03.38.22 PM";"*"
"121";"726000";"30";"3";"03.31.51 PM";" 03.42.25 PM";"*"
"122";"314398";"30";"11";"03.32.43 PM";" 03.40.18 PM";"*"
"123";"83512";"30";"2";"03.35.52 PM";" 03.43.29 PM";"*"
"124";"62259";"30";"5";"03.36.35 PM";" 03.46.12 PM";"*"
"125";"39178";"30";"1";"03.36.57 PM";" 03.43.47 PM";"*"
"126";"804333";"30";"4";"03.37.38 PM";" 03.44.19 PM";"*"
